elapsedtime,ECG
seconds,mv
3.072,-0.015
3.076,-0.022
3.08,-0.035
3.084,-0.03
3.088,-0.037
3.092,-0.033
3.096,-0.035
3.1,-0.025
3.104,-0.015
3.108,-0.025
3.112,-0.025
3.116,0.018
3.12,0.025
3.124,0.058
3.128,0.135
3.132,0.258
3.136,0.463
3.14,0.695
3.144,0.895
3.148,1.038
3.152,1.042
3.156,0.897
3.16,0.378
3.164,-0.427
3.168,-1.042
3.172,-1.327
3.176,-1.462
3.18,-1.508
3.184,-1.512
3.188,-1.373
3.192,-1.137
3.196,-0.843
3.2,-0.657
3.204,-0.552
3.208,-0.537
3.212,-0.557
3.216,-0.627
3.22,-0.627
3.224,-0.632
3.228,-0.58
3.232,-0.468
3.236,-0.323
3.24,-0.165
3.244,-0.075
3.248,-0.003
3.252,-0.005
3.256,0.013
3.26,0.022
3.264,0.048
3.268,0.068
3.272,0.068
3.276,0.08
3.28,0.105
3.284,0.107
3.288,0.107
3.292,0.145
3.296,0.163
3.3,0.168
3.304,0.168
3.308,0.168
3.312,0.177
3.316,0.188
3.32,0.195
3.324,0.233
3.328,0.24
3.332,0.228
3.336,0.245
3.34,0.297
3.344,0.328
3.348,0.378
3.352,0.448
3.356,0.522
3.36,0.598
3.364,0.667
3.368,0.757
3.372,0.807
3.376,0.828
3.38,0.877
3.384,0.902
3.388,0.922
3.392,0.958
3.396,0.958
3.4,0.948
3.404,0.932
3.408,0.88
3.412,0.815
3.416,0.728
3.42,0.667
3.424,0.608
3.428,0.58
3.432,0.507
3.436,0.443
3.44,0.362
3.444,0.318
3.448,0.268
3.452,0.212
3.456,0.152
3.46,0.138
3.464,0.125
3.468,0.085
3.472,0.065
3.476,0.035
3.48,0.033
3.484,0.028
3.488,0.02
3.492,0.015
3.496,-0.003
3.5,-0.003
3.504,0.005
3.508,0.015
3.512,-0.003
3.516,-0.007
3.52,-0.015
3.524,0.007
3.528,0.005
3.532,0.003
3.536,-0.005
3.54,-0.003
3.544,-0.003
3.548,0.015
3.552,0.013
3.556,0.013
3.56,0.015
3.564,0.018
3.568,-0.02
3.572,-0.022
3.576,-0.022
3.58,-0.01
3.584,-0.01
3.588,0.005
3.592,0.007
3.596,0.005
3.6,-0.015
3.604,-0.04
3.608,-0.02
3.612,-0.033
3.616,-0.03
3.62,-0.06
3.624,-0.05
3.628,-0.05
3.632,-0.04
3.636,-0.055
3.64,-0.072
3.644,-0.055
3.648,-0.062
3.652,-0.055
3.656,-0.043
3.66,-0.035
3.664,-0.043
3.668,-0.055
3.672,-0.045
3.676,-0.055
3.68,-0.05
3.684,-0.055
3.688,-0.02
3.692,-0.043
3.696,-0.065
3.7,-0.062
3.704,-0.07
3.708,-0.068
3.712,-0.087
3.716,-0.065
3.72,-0.072
3.724,-0.045
3.728,-0.043
3.732,-0.062
3.736,-0.102
3.74,-0.105
3.744,-0.12
3.748,-0.092
3.752,-0.085
3.756,-0.08
3.76,-0.092
3.764,-0.092
3.768,-0.105
3.772,-0.113
3.776,-0.105
3.78,-0.072
3.784,-0.072
3.788,-0.087
3.792,-0.098
3.796,-0.092
3.8,-0.077
3.804,-0.077
3.808,-0.072
3.812,-0.065
3.816,-0.06
3.82,-0.06
3.824,-0.07
3.828,-0.107
3.832,-0.115
3.836,-0.115
3.84,-0.11
3.844,-0.11
3.848,-0.092
3.852,-0.098
3.856,-0.1
3.86,-0.092
3.864,-0.102
3.868,-0.102
3.872,-0.085
3.876,-0.08
3.88,-0.08
3.884,-0.08
3.888,-0.045
3.892,-0.04
3.896,-0.08
3.9,-0.11
3.904,-0.14
3.908,-0.145
3.912,-0.133
3.916,-0.102
3.92,-0.085
3.924,-0.098
3.928,-0.095
3.932,-0.08
3.936,-0.07
3.94,-0.09
3.944,-0.092
3.948,-0.075
3.952,-0.072
3.956,-0.095
3.96,-0.092
3.964,-0.102
3.968,-0.115
3.972,-0.105
3.976,-0.1
3.98,-0.087
3.984,-0.087
3.988,-0.09
3.992,-0.095
3.996,-0.095
4,-0.098
4.004,-0.083
4.008,-0.08
4.012,-0.085
4.016,-0.083
4.02,-0.095
4.024,-0.09
4.028,-0.085
4.032,-0.075
4.036,-0.09
4.04,-0.107
4.044,-0.095
4.048,-0.105
4.052,-0.072
4.056,-0.065
4.06,-0.04
4.064,-0.055
4.068,-0.055
4.072,-0.055
4.076,-0.065
4.08,-0.085
4.084,-0.062
4.088,-0.055
4.092,-0.07
4.096,-0.075
4.1,-0.07
4.104,-0.052
4.108,-0.06
4.112,-0.075
4.116,-0.06
4.12,-0.09
4.124,-0.098
4.128,-0.085
4.132,-0.075
4.136,-0.045
4.14,-0.043
4.144,-0.052
4.148,-0.052
4.152,-0.05
4.156,-0.035
4.16,-0.018
4.164,-0.025
4.168,-0.033
4.172,-0.05
4.176,-0.065
4.18,-0.035
4.184,-0.065
4.188,-0.062
4.192,-0.075
4.196,-0.052
4.2,-0.04
4.204,-0.06
4.208,-0.055
4.212,-0.043
4.216,-0.033
4.22,-0.055
4.224,-0.035
4.228,-0.025
4.232,-0.04
4.236,-0.033
4.24,-0.003
4.244,-0.015
4.248,0.005
4.252,-0.005
4.256,-0.015
4.26,0.007
4.264,0.033
4.268,0.105
4.272,0.107
4.276,0.117
4.28,0.115
4.284,0.115
4.288,0.072
4.292,0.087
4.296,0.107
4.3,0.105
4.304,0.068
4.308,0.055
4.312,-0.003
4.316,-0.028
4.32,-0.045
4.324,-0.095
4.328,-0.092
4.332,-0.085
4.336,-0.08
4.34,-0.092
4.344,-0.1
4.348,-0.113
4.352,-0.087
4.356,-0.085
4.36,-0.113
4.364,-0.1
4.368,-0.135
4.372,-0.115
4.376,-0.15
4.38,-0.263
4.384,-0.407
4.388,-0.445
4.392,-0.355
4.396,-0.085
4.4,0.307
4.404,0.828
4.408,1.427
4.412,1.792
4.416,1.7
4.42,1.317
